Date : 2022-11-07 06:08:44
Directory : c:\Users\Administrador\Desktop\WowGoldLog
Total : 852 files,  315158 codes, 5727 comments, 13627 blanks, all 334512 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\sq.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\th.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\tr.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\ua.json                                                    | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\zh-cn.json                                                 | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\apexcharts\locales\zh-tw.json                                                 | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap-icons\bootstrap-icons.css                                           | CSS                |      1,874 |          0 |          3 |      1,877 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap-icons\bootstrap-icons.json                                          | JSON               |      1,856 |          0 |          0 |      1,856 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap-icons\index.html                                                    | HTML               |      7,286 |          0 |          6 |      7,292 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-grid.css                                              | CSS                |      3,925 |          7 |        192 |      4,124 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-grid.min.css                                          | CSS                |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-grid.rtl.css                                          | CSS                |      3,925 |          7 |        191 |      4,123 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-grid.rtl.min.css                                      | CSS                |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-reboot.css                                            | CSS                |        409 |         15 |         64 |        488 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-reboot.min.css                                        | CSS                |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.css                                        | CSS                |        415 |          7 |         63 |        485 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.min.css                                    | CSS                |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-utilities.css                                         | CSS                |      3,830 |          9 |        358 |      4,197 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-utilities.min.css                                     | CSS                |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.css                                     | CSS                |      3,826 |          7 |        355 |      4,188 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.min.css                                 | CSS                |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap.css                                                   | CSS                |     10,102 |         35 |        744 |     10,881 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap.min.css                                               | CSS                |          2 |          5 |          1 |          8 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap.rtl.css                                               | CSS                |     10,104 |          7 |        730 |     10,841 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\bootstrap.rtl.min.css                                           | CSS                |          2 |          5 |          1 |          8 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\css\sidebar.css                                                     | CSS                |        153 |          0 |          1 |        154 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\js\bootstrap.bundle.js                                              | JavaScript         |      5,054 |        535 |      1,496 |      7,085 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\js\bootstrap.bundle.min.js                                          | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\js\bootstrap.esm.js                                                 | JavaScript         |      3,557 |        458 |      1,197 |      5,212 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\js\bootstrap.esm.min.js                                             | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\js\bootstrap.js                                                     | JavaScript         |      3,594 |        464 |      1,201 |      5,259 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\js\bootstrap.min.js                                                 | JavaScript         |          1 |          6 |          0 |          7 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\bootstrap\js\sidebar.js                                                       | JavaScript         |         25 |          7 |          7 |         39 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\boxicons\css\animations.css                                                   | CSS                |        354 |          0 |         32 |        386 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\boxicons\css\boxicons.css                                                     | CSS                |      5,373 |          0 |         52 |      5,425 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\boxicons\css\boxicons.min.css                                                 | CSS                |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\boxicons\css\transformations.css                                              | CSS                |         25 |          0 |          6 |         31 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\boxicons\fonts\boxicons.svg                                                   | XML                |      1,660 |          0 |          0 |      1,660 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\chart.esm.js                                                         | JavaScript         |     10,695 |          6 |         61 |     10,762 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\chart.js                                                             | JavaScript         |     13,433 |         12 |         81 |     13,526 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\chart.min.js                                                         | JavaScript         |          2 |         11 |          1 |         14 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\chart.mjs                                                            | JavaScript         |     10,695 |          6 |         61 |     10,762 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\chunks\helpers.segment.js                                            | JavaScript         |      2,590 |         12 |         18 |      2,620 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\chunks\helpers.segment.mjs                                           | JavaScript         |      2,590 |         12 |         18 |      2,620 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\404.html                                                        | HTML               |         17 |          0 |          1 |         18 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\Animation.html                                      | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\Animations.html                                     | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\Animator.html                                       | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\BasePlatform.html                                   | HTML               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\BasicPlatform.html                                  | HTML               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\Chart.html                                          | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\DatasetController.html                              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\DomPlatform.html                                    | HTML               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\classes\Scale.html                                          | HTML               |         58 |          0 |          1 |         59 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\enums\DecimationAlgorithm.html                              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\enums\UpdateModeEnum.html                                   | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\index.html                                                  | HTML               |         49 |          0 |          1 |         50 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ActiveDataPoint.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ActiveElement.html                               | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\AnimationEvent.html                              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ArcBorderRadius.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ArcElement.html                                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ArcHoverOptions.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ArcOptions.html                                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ArcProps.html                                    | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BarControllerChartOptions.html                   | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BarControllerDatasetOptions.html                 | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BarElement.html                                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BarHoverOptions.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BarOptions.html                                  | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BarProps.html                                    | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BorderRadius.html                                | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BubbleControllerDatasetOptions.html              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\BubbleDataPoint.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\CartesianScaleOptions.html                       | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\CartesianScaleTypeRegistry.html                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartArea.html                                   | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartComponent.html                              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartConfiguration.html                          | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartConfigurationCustomTypesPerDataset.html     | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartData.html                                   | HTML               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartDataCustomTypesPerDataset.html              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartDatasetProperties.html                      | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartDatasetPropertiesCustomTypesPerDataset.html | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartEvent.html                                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ChartTypeRegistry.html                           | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\CommonElementOptions.html                        | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\CommonHoverOptions.html                          | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ComplexFillTarget.html                           | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ControllerDatasetOptions.html                    | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\CoreChartOptions.html                            | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\CoreInteractionOptions.html                      | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\CoreScaleOptions.html                            | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\DatasetControllerChartComponent.html             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\DateAdapter.html                                 | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Defaults.html                                    | HTML               |         56 |          0 |          1 |         57 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\DoughnutAnimationOptions.html                    | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\DoughnutController.html                          | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\DoughnutControllerChartOptions.html              | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\DoughnutControllerDatasetOptions.html            | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\DoughnutMetaExtensions.html                      | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Element.html                                     | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ElementOptionsByType.html                        | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ExtendedPlugin.html                              | HTML               |         55 |          0 |          1 |         56 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\FillerControllerDatasetOptions.html              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\FillerOptions.html                               | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\FontSpec.html                                    | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\GridLineOptions.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\InteractionItem.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\InteractionModeMap.html                          | HTML               |         56 |          0 |          1 |         57 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\InteractionOptions.html                          | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LayoutItem.html                                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LegendElement.html                               | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LegendItem.html                                  | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LegendOptions.html                               | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LineControllerChartOptions.html                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LineControllerDatasetOptions.html                | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LineElement.html                                 | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LineHoverOptions.html                            | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LineOptions.html                                 | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\LineProps.html                                   | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ParsingOptions.html                              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Plugin.html                                      | HTML               |         76 |          0 |          1 |         77 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PluginChartOptions.html                          | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PluginOptionsByType.html                         | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Point.html                                       | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PointElement.html                                | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PointHoverOptions.html                           | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PointOptions.html                                | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PointPrefixedHoverOptions.html                   | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PointPrefixedOptions.html                        | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PointProps.html                                  | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PolarAreaController.html                         | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PolarAreaControllerChartOptions.html             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\PolarAreaControllerDatasetOptions.html           | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\RadarControllerDatasetOptions.html               | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\RadialLinearScale.html                           | HTML               |         58 |          0 |          1 |         59 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\RadialScaleTypeRegistry.html                     | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Registry.html                                    | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScaleTypeRegistry.html                           | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScatterDataPoint.html                            | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScriptableCartesianScaleContext.html             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScriptableChartContext.html                      | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScriptableContext.html                           | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScriptableLineSegmentContext.html                | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScriptableScaleContext.html                      | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScriptableScalePointLabelContext.html            | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\ScriptableTooltipContext.html                    | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Segment.html                                     | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Tick.html                                        | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TickOptions.html                                 | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TimeScale.html                                   | HTML               |         58 |          0 |          1 |         59 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TitleOptions.html                                | HTML               |         54 |          0 |          1 |         55 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\Tooltip.html                                     | HTML               |         76 |          0 |          1 |         77 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TooltipCallbacks.html                            | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TooltipItem.html                                 | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TooltipLabelStyle.html                           | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TooltipModel.html                                | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TooltipOptions.html                              | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TooltipPosition.html                             | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TooltipPositionerMap.html                        | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\TypedRegistry.html                               | HTML               |         53 |          0 |          1 |         54 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\api\interfaces\VisualElement.html                               | HTML               |         49 |          0 |          1 |         50 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\css\0.styles.7d07a4d1.css                                | CSS                |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\img\search.83621669.svg                                  | XML                |          1 |          0 |          1 |          2 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\10.edbecfa9.js                                        | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\Administrador\Desktop\WowGoldLog\src\assets\vendor\chart.js\docs\assets\js\100.f7a12d8b.js                                       | JavaScript         |          1 |          0 |          0 |          1 |
